kind,role,position,key,signal_name,safe_name
style,supporting,WM,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,WM,Control,Passes per90,Passes_per90
style,supporting,WM,Control,Backward Passes per90,Backward_Passes_per90
style,core,WM,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,WM,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,WM,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,WM,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,WM,Direct,Long Ball Rate,Long_Ball_Rate
style,core,WM,Direct,Long Ball Share,Long_Ball_Share
style,core,WM,Direct,Directness Proxy,Directness_Proxy
style,supporting,WM,Direct,Long Balls per90,Long_Balls_per90
style,supporting,WM,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
style_receiving,core,WM,Direct,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
style_receiving,core,WM,Direct,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,Winger,,Tackles per90,Tackles_per90
position_quality,core,Winger,,Tackles Won %,Tackles_Won_pct
position_quality,core,Winger,,Tackle Share,Tackle_Share
position_quality,core,Winger,,Tackle Share Rel. Ground Duel Attempt Share,Tackle_Share_Rel_Ground_Duel_Attempt_Share
position_quality,core,Winger,,Interceptions per90,Interceptions_per90
position_quality,core,Winger,,Interception Share,Interception_Share
position_quality,core,Winger,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,Winger,,Ball Recovery Share,Ball_Recovery_Share
position_quality,core,Winger,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,Winger,,Dribble Success %,Dribble_Success_pct
position_quality,core,Winger,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,Winger,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,Winger,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,Winger,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,Winger,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,Winger,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,Winger,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
position_quality,core,Winger,,Shots Total per90,Shots_Total_per90
position_quality,core,Winger,,Shot Rate,Shot_Rate
position_quality,core,Winger,,Goal Conversion %,Goal_Conversion_pct
position_quality,core,Winger,,Shot Share,Shot_Share
position_quality,core,Winger,,Total Crosses per90,Total_Crosses_per90
position_quality,core,Winger,,Cross Rate,Cross_Rate
position_quality,core,Winger,,Cross Accuracy %,Cross_Accuracy_pct
position_quality,core,Winger,,Cross Share,Cross_Share
position_quality,core,Winger,,Big Chances Created per90,Big_Chances_Created_per90
position_quality,core,Winger,,Key Passes per90,Key_Passes_per90
style,core,Winger,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,Winger,Control,Backward Pass Share,Backward_Pass_Share
style,core,Winger,Control,Pass Share,Pass_Share
style,supporting,Winger,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,Winger,Control,Passes per90,Passes_per90
style,supporting,Winger,Control,Backward Passes per90,Backward_Passes_per90
style,core,Winger,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,Winger,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,Winger,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,Winger,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,Winger,Direct,Long Ball Rate,Long_Ball_Rate
style,core,Winger,Direct,Long Ball Share,Long_Ball_Share
style,core,Winger,Direct,Directness Proxy,Directness_Proxy
style,supporting,Winger,Direct,Long Balls per90,Long_Balls_per90
style,supporting,Winger,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
style_receiving,core,Winger,Direct,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
style_receiving,core,Winger,Direct,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,DM,,Tackles per90,Tackles_per90
position_quality,core,DM,,Tackle Share,Tackle_Share
position_quality,core,DM,,Interceptions per90,Interceptions_per90
position_quality,core,DM,,Interception Share,Interception_Share
position_quality,core,DM,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,DM,,Ball Recovery Share,Ball_Recovery_Share
position_quality,core,DM,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,DM,,Dribble Rate,Dribble_Rate
position_quality,core,DM,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,DM,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,DM,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,DM,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,DM,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
style,core,DM,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,DM,Control,Backward Pass Share,Backward_Pass_Share
style,core,DM,Control,Pass Share,Pass_Share
style,supporting,DM,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,DM,Control,Passes per90,Passes_per90
style,supporting,DM,Control,Backward Passes per90,Backward_Passes_per90
style,core,DM,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,DM,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,DM,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,DM,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,DM,Direct,Long Ball Rate,Long_Ball_Rate
style,core,DM,Direct,Long Ball Share,Long_Ball_Share
style,core,DM,Direct,Directness Proxy,Directness_Proxy
style,supporting,DM,Direct,Long Balls per90,Long_Balls_per90
style,supporting,DM,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,CM,,Key Pass Share Relative to Pass Share,Key_Pass_Share_Relative_to_Pass_Share
position_quality,core,CM,,Tackles per90,Tackles_per90
position_quality,core,CM,,Tackle Share,Tackle_Share
position_quality,core,CM,,Interceptions per90,Interceptions_per90
position_quality,core,CM,,Interception Share,Interception_Share
position_quality,core,CM,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,CM,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,CM,,Dribble Rate,Dribble_Rate
position_quality,core,CM,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,CM,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,CM,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,CM,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,CM,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,CM,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,CM,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
position_quality,core,CM,,Shots Total per90,Shots_Total_per90
position_quality,core,CM,,Shot Rate,Shot_Rate
