position,philosophy,rank,ability,weight_pct
Defensive Midfield,Control,7,Finishing / Shot Threat,4.4
Defensive Midfield,Control,8,Crossing / Wide Delivery,4.4
Defensive Midfield,Direct,1,Long Distribution,47.8
Defensive Midfield,Direct,2,Ball Retention & Security,13.9
Defensive Midfield,Direct,3,Build-Up Involvement,12.0
Defensive Midfield,Direct,4,Progressive Passing,11.4
Defensive Midfield,Direct,5,Ball Carrying / Dribbling,8.0
Defensive Midfield,Direct,6,Chance Creation,3.5
Defensive Midfield,Direct,7,Finishing / Shot Threat,2.3
Defensive Midfield,Direct,8,Crossing / Wide Delivery,1.2
Defensive Midfield,Progression,1,Progressive Passing,34.7
Defensive Midfield,Progression,2,Long Distribution,20.8
Defensive Midfield,Progression,3,Build-Up Involvement,13.4
Defensive Midfield,Progression,4,Ball Retention & Security,12.5
Defensive Midfield,Progression,5,Ball Carrying / Dribbling,9.3
Defensive Midfield,Progression,6,Chance Creation,5.8
Defensive Midfield,Progression,7,Finishing / Shot Threat,2.3
Defensive Midfield,Progression,8,Crossing / Wide Delivery,1.2
Full-Back,Control,1,Progressive Passing,28.6
Full-Back,Control,2,Ball Retention & Security,19.3
Full-Back,Control,3,Chance Creation,14.2
Full-Back,Control,4,Ball Carrying / Dribbling,14.2
Full-Back,Control,5,Crossing / Wide Delivery,11.9
Full-Back,Control,6,Build-Up Involvement,7.0
Full-Back,Control,7,Long Distribution,3.6
Full-Back,Control,8,Finishing / Shot Threat,1.2
Full-Back,Direct,1,Crossing / Wide Delivery,28.0
Full-Back,Direct,2,Ball Carrying / Dribbling,20.0
Full-Back,Direct,3,Progressive Passing,16.0
Full-Back,Direct,4,Ball Retention & Security,12.0
Full-Back,Direct,5,Chance Creation,9.0
Full-Back,Direct,6,Long Distribution,7.0
Full-Back,Direct,7,Build-Up Involvement,4.9
Full-Back,Direct,8,Finishing / Shot Threat,3.0
Full-Back,Progression,1,Ball Carrying / Dribbling,23.9
Full-Back,Progression,2,Progressive Passing,21.7
Full-Back,Progression,3,Ball Retention & Security,17.4
Full-Back,Progression,4,Crossing / Wide Delivery,15.2
Full-Back,Progression,5,Chance Creation,9.8
Full-Back,Progression,6,Build-Up Involvement,6.5
Full-Back,Progression,7,Long Distribution,4.3
Full-Back,Progression,8,Finishing / Shot Threat,1.1
Wide Midfielder,Control,1,Chance Creation,30.3
Wide Midfielder,Control,2,Ball Carrying / Dribbling,25.3
Wide Midfielder,Control,3,Crossing / Wide Delivery,15.1
Wide Midfielder,Control,4,Ball Retention & Security,11.5
Wide Midfielder,Control,5,Progressive Passing,7.6
Wide Midfielder,Control,6,Build-Up Involvement,6.5
Wide Midfielder,Control,7,Long Distribution,2.5
Wide Midfielder,Control,8,Finishing / Shot Threat,1.2
Wide Midfielder,Direct,1,Crossing / Wide Delivery,25.9
Wide Midfielder,Direct,2,Ball Carrying / Dribbling,21.5
Wide Midfielder,Direct,3,Chance Creation,19.4
Wide Midfielder,Direct,4,Ball Retention & Security,11.3
Wide Midfielder,Direct,5,Long Distribution,7.5
Wide Midfielder,Direct,6,Build-Up Involvement,6.8
Wide Midfielder,Direct,7,Progressive Passing,5.4
Wide Midfielder,Direct,8,Finishing / Shot Threat,2.2
Wide Midfielder,Progression,1,Progressive Passing,26.5
Wide Midfielder,Progression,2,Chance Creation,21.7
Wide Midfielder,Progression,3,Ball Carrying / Dribbling,19.3
Wide Midfielder,Progression,4,Crossing / Wide Delivery,12.1
Wide Midfielder,Progression,5,Ball Retention & Security,11.4
Wide Midfielder,Progression,6,Build-Up Involvement,6.5
Wide Midfielder,Progression,7,Long Distribution,2.5
Wide Midfielder,Progression,8,Finishing / Shot Threat,0.0
Winger,Control,1,Chance Creation,29.5
Winger,Control,2,Crossing / Wide Delivery,20.5
Winger,Control,3,Ball Carrying / Dribbling,18.2
Winger,Control,4,Finishing / Shot Threat,15.9
Winger,Control,5,Ball Retention & Security,10.2
Winger,Control,6,Build-Up Involvement,4.5
Winger,Control,7,Progressive Passing,1.1
Winger,Control,8,Long Distribution,0.0
Winger,Direct,1,Finishing / Shot Threat,27.3
Winger,Direct,2,Ball Carrying / Dribbling,22.7
Winger,Direct,3,Crossing / Wide Delivery,18.2
Winger,Direct,4,Chance Creation,15.9
Winger,Direct,5,Ball Retention & Security,9.1
Winger,Direct,6,Build-Up Involvement,5.7
Winger,Direct,7,Long Distribution,1.1
Winger,Direct,8,Progressive Passing,0.0
Winger,Progression,1,Ball Carrying / Dribbling,25.0
Winger,Progression,2,Chance Creation,22.7
Winger,Progression,3,Crossing / Wide Delivery,18.2
Winger,Progression,4,Finishing / Shot Threat,15.9
Winger,Progression,5,Ball Retention & Security,9.1
Winger,Progression,6,Progressive Passing,6.8
Winger,Progression,7,Build-Up Involvement,2.3
Winger,Progression,8,Long Distribution,0.0
Right Back,Control,1,Progressive Passing,28.6
Right Back,Control,2,Ball Retention & Security,19.3
Right Back,Control,3,Chance Creation,14.2
Right Back,Control,4,Ball Carrying / Dribbling,14.2
Right Back,Control,5,Crossing / Wide Delivery,11.9
Right Back,Control,6,Build-Up Involvement,7.0
Right Back,Control,7,Long Distribution,3.6
Right Back,Control,8,Finishing / Shot Threat,1.2
Right Back,Direct,1,Crossing / Wide Delivery,28.0
Right Back,Direct,2,Ball Carrying / Dribbling,20.0
Right Back,Direct,3,Progressive Passing,16.0
Right Back,Direct,4,Ball Retention & Security,12.0
Right Back,Direct,5,Chance Creation,9.0
Right Back,Direct,6,Long Distribution,7.0
Right Back,Direct,7,Build-Up Involvement,4.9
Right Back,Direct,8,Finishing / Shot Threat,3.0
Right Back,Progression,1,Ball Carrying / Dribbling,23.9
Right Back,Progression,2,Progressive Passing,21.7
Right Back,Progression,3,Ball Retention & Security,17.4
Right Back,Progression,4,Crossing / Wide Delivery,15.2
Right Back,Progression,5,Chance Creation,9.8
Right Back,Progression,6,Build-Up Involvement,6.5
Right Back,Progression,7,Long Distribution,4.3
Right Back,Progression,8,Finishing / Shot Threat,1.1
Left Back,Control,1,Progressive Passing,28.6
Left Back,Control,2,Ball Retention & Security,19.3
Left Back,Control,3,Chance Creation,14.2
Left Back,Control,4,Ball Carrying / Dribbling,14.2
Left Back,Control,5,Crossing / Wide Delivery,11.9
Left Back,Control,6,Build-Up Involvement,7.0
Left Back,Control,7,Long Distribution,3.6
Left Back,Control,8,Finishing / Shot Threat,1.2
Left Back,Direct,1,Crossing / Wide Delivery,28.0
Left Back,Direct,2,Ball Carrying / Dribbling,20.0
Left Back,Direct,3,Progressive Passing,16.0
Left Back,Direct,4,Ball Retention & Security,12.0
Left Back,Direct,5,Chance Creation,9.0
Left Back,Direct,6,Long Distribution,7.0
Left Back,Direct,7,Build-Up Involvement,4.9
Left Back,Direct,8,Finishing / Shot Threat,3.0
Left Back,Progression,1,Ball Carrying / Dribbling,23.9
Left Back,Progression,2,Progressive Passing,21.7
Left Back,Progression,3,Ball Retention & Security,17.4
Left Back,Progression,4,Crossing / Wide Delivery,15.2
Left Back,Progression,5,Chance Creation,9.8
